Name,Coordinates
Shinano,"34.9652,136.8859;37.8358,139.0403;37.2671,138.8514;37.8985,139.0146;36.5605,138.1569;35.9546,138.7130;36.3900,138.2529;34.9638,136.8893"
Tone,"35.8696,140.1274;35.5745,138.4252;37.0497,139.1084;36.3370,139.0758;37.0375,139.1131;35.7389,140.8359;36.3136,139.1242;37.0443,139.1060"
Ishikari,"43.8065,142.8765;43.7141,142.0490;43.2288,141.3530;43.5855,142.9849;43.8836,142.5154;43.1166,141.5748;43.2516,141.3633"
Teshio,"44.8327,142.0743;44.1158,142.6985;44.2047,142.3732;44.9657,141.8736;43.9771,142.8716"
Kitakami,"39.7821,141.1676;38.5581,141.3009;35.2632,139.8830;38.5257,141.3451;39.5971,141.1975"
Abukuma,"38.0671,140.8150;37.1716,140.0762"
Mogami,"38.6835,140.2519;43.1196,141.7475;37.8920,140.1219;38.8762,139.8680"
Kiso,"35.4745,137.3472;36.4997,139.0677;35.1248,136.6935;35.5382,137.5368;36.0622,137.7647"
Agano,"37.7207,139.3804;37.5935,139.8502;37.2794,139.9041;37.0598,139.6589"
Tenryu,"34.9410,137.8356;38.6848,139.6382;36.7363,140.5300;36.0278,138.0153;34.9442,137.8325;36.0421,138.0281;34.7948,137.8202;35.4977,137.8624"
Kinugawa,"36.2545,139.8881;36.8736,139.4030;36.5948,139.9675;36.8666,139.3908;36.7898,139.7038;35.9393,139.9487;36.6946,139.9342;36.8581,139.3755"
Oi,"36.5553,136.8922;34.8935,138.1146;35.5799,138.2186;34.5220,131.5695;33.2204,132.8867;35.3960,136.2856;35.6209,138.2125;34.5229,131.6084;35.4100,136.3220;35.6272,138.2160"
Naka,"33.4274,130.3962;36.3361,140.5909;37.1425,139.9338;36.5915,140.1875;37.1468,139.9534;33.5178,130.4278;36.3632,140.5436;37.1465,139.9519;33.5845,130.4096"
Chikugo,"33.1801,130.3525;32.0592,131.3937;33.0772,131.1460;33.2982,130.9510;33.3343,130.5887;33.3605,130.8123;33.0865,131.1654;33.3599,130.8070;33.2112,130.3592"
Tama,"35.7094,139.3298;35.6174,139.5959;35.7949,139.2189;35.7891,139.0531;35.8014,139.2126;35.5943,139.6488;35.7999,139.2162;35.7891,139.0565"
Yoneshiro,"40.1452,140.9576;40.2178,140.0342"
Kuji,"40.1770,141.6490;36.9751,140.2905;36.4869,140.5973;36.9764,140.2983;40.1391,141.5632"
Niyodo,"33.5415,133.0618;33.5273,133.4296;33.5783,133.2989;33.4620,133.4808;33.5403,133.1205;33.4772,133.4608;33.5774,133.3565;33.5440,133.0081;33.6285,132.9843;33.7558,133.1154"
Ibi,"35.6967,136.4795;35.1057,136.6686;35.7499,136.3904"
Kuma,"32.3400,131.0137;32.2947,130.5987;32.4391,130.9701"
Sagami,"38.6508,139.8620;35.3728,139.3710;35.5764,139.3018;34.9765,135.8641;35.4136,139.3690;34.9964,135.8876;35.6118,138.9361;35.3557,139.3705;34.9871,135.8753"
Watarase,"36.1714,139.6914;36.4291,139.2862"
Yodo,"36.0459,136.5143;30.3037,130.5289;35.1562,134.1915;38.3145,141.4946;38.8385,140.0667;39.6621,140.3499;34.7690,135.5872;35.0518,134.3274;39.6912,140.4336;34.7200,135.5083"
Tedori,"36.1960,136.6275;36.4564,136.6100;36.4861,136.4809;36.4519,136.6184;36.4635,136.4995;36.1149,136.6991"
Kano,"34.9612,138.9403;35.0702,138.9354;34.9813,138.9501;35.0950,138.8588;34.8896,138.9282;35.0660,138.9365;35.0800,138.8560"
Katsura,"35.4956,136.5553;34.2640,136.4896;33.3655,130.6614;34.1014,132.5140;41.0716,140.3767;34.5317,134.2882;36.5000,140.3439;38.1127,139.5237;36.4056,139.2060;33.5459,131.5731"
Kamo,"36.7111,137.0296;33.1199,139.8138;35.1285,137.6292;32.9584,130.7770;35.3130,135.9931;35.8755,139.6017;34.5630,133.9313;34.9539,135.7430;36.8172,137.3980;35.2680,135.9179"
Uji,"34.7377,131.9082;33.5316,133.4318;34.8815,135.6797;34.8884,135.8600;34.9191,135.7440;34.6905,135.1744;33.5590,133.4660;34.7405,131.9095;34.6939,135.1780"
Omono,"39.1294,140.4810;39.6585,140.1230"
Shirakawa,"35.5607,136.4141;34.8070,138.8242;32.0687,130.7331;33.7524,130.9323;35.8346,138.2093;35.8643,137.5864;37.8532,139.8082;34.6979,135.1008;34.8262,137.3562;34.8643,137.3577"
Monobe,"33.6762,133.8320;33.8079,134.0164"
Kurobe,"36.4125,137.5513;34.1142,133.8193;35.8005,140.6204;36.5456,137.6563;35.7816,140.6295;36.9078,137.4441;35.8001,140.6206"
Kuzuryu,"36.0788,136.4166;36.1103,136.1789;36.1813,136.1532;36.1037,136.3239;36.2190,136.1387;35.8690,136.8240;36.1140,136.1733;36.0623,136.4920;35.9028,136.6480;35.8685,136.8237"
Hayatsuki,"36.6647,137.4783;36.7958,137.3875;36.6505,137.5488;36.6513,137.5085;36.6509,137.5485;36.6631,137.4845;36.7992,137.3831;36.6753,137.4592;36.6505,137.5488"
Kumano,"36.9594,136.9118;36.5023,137.3688;31.8323,131.4204;33.4948,131.5176;41.2307,141.0204;39.1979,141.8232;38.4993,140.1783;33.7354,135.9740;36.5012,137.3746"
Kiku,"34.6424,137.2790;34.7037,138.0774;32.9850,132.5218;34.8333,138.0949"
