Name,Prefecture,Parents,Year,Notes
Yamadanishiki ,Hyogo,Yamadaho x Tankan-wataribune,1923/ 1936,"Known as the ""King of Sake Rice,"" it is a cross between Yamadaho and Tankan-wataribune rice. Prized for its large, uniform starch core (shinpaku), it is used to produce premium, highly aromatic sakes. Cant grow above 300m. Tankan-wataribune is also decended from omachi"
Gohyakumangoku,Niigata,Kikusui x Shin no 200,1938,"The second most cultivated sakamai. Produces clean, crisp, and light sake with a simple, refreshing profile. Developed in 1938 by crassing Kikusui (an ancestor of Omachi) and Shin No. 200 (an ancestor of Kame no O). its name comes from a bumper crop of the rice in 1957 that yelded 5 million koku, or Gohyakumangoku. It was developed for Niigata's cold climate whore sake rice has to be cold resistant and grow in a relatively short growing season. The nice is easy to make koji with and lends itself well to the Echigo toji's tsuki haze köil, creating a sharp, crisp, light, and very clean sake. Gonyakumangoku is the foundation of Nigata's tanre karakuchi sake. Its disadvantage is a large, round shimpaku. Because of this, it can't be polished to low levels, below 50% seimai buai, without cracking. The Yoshikawa ward in southern Joetsu is the largest cultivation area for this rice."""
Miyama Nishiki,Nagano ,Takane Nishiki x Gamma Rays,1978,"Known for its ability to produce rich, bold, and slightly earthy-flavored sake. It is well-suited for winter brewing in colder climates. • """"Miyama"""" means Beautiful Mountain."
Omachi,Okayama,,,"Considered an heirloom variety, dating back to the 19th century. Creates complex, rich sake with earthy and herbal notes."
Dewasansan,Yamagata,Miyama Nishiki x Hanafukubi,1985 / 1997,"Creates a clean, smooth, and mildly floral sake. Often used in Yamagata's local premium sakes."
Dewa no sato,Yamagata,Ginfukubi x Dewasansan,1994 / 2004,"94-95% shinpaku, good for junmai & honjozo. High acid / low umami"
Hattan Nishiki,Hiroshima,,,"A variety in the Hattan family, it is known for producing sake with a distinctive, sharp acidity and rich, earthy flavors. Some types are easily broken during polishing, limiting their use in high-polish sakes."
Akita Sake Komachi,Akita,Akikeishu 251 x 306,1992 /2003,"A newer variety bred specifically for Akita's climate. Known for producing soft, elegant, and aromatic sake."
Ginpu,Hokkaido,,,"Developed for the northern climate of Hokkaido, it is used to make aromatic and crisp sake."
Kame no O,Yamagata,,,"An heirloom rice variety with a strong, distinct flavor profile. Revived in recent years for use in craft sake."
Iwai,Kyoto,,,"Used almost exclusively in Kyoto, it is known for producing soft and aromatic sake with a gentle flavor."
Hanafubuki,Aomori,,,
Ginginga,Iwate,,,
Kura no Hana,Miyagi,Yamada Nishiki x Tohoku 140,1987,
Sasa nishiki,Miyagi,,,
Yume no Kaori,Fukushima,Dewasansan x Hattan Nishiki,1991/ 2003,"Like parent D33, good for cold / ginjo"
Hitogokochi,Nagano ,,,
Tamasakae,Shiga,,,
Aiyama,Hyogo,,,
Hida Honmare,Gifu,?? Hida Minori x Fuku no hana,,"round shinpaku - max milling 45%, used for all grades, used by most brewers in Gufu"
Koshi Tanrei,Niigata,Yamada Nishiki x Gohykumangoku,1989/2002,"Developed in 2004 by crossing Yamada Nishiki and Gohyakumangoku. It took 15 years to develop. It was developed for Daiginjo sake making since it can be polished to lower lovels than Gohyakumangoku without cracking. Because it has good water absorbency, Koshi Tanrei does well when steamed and also dissolves well in the moromi a sake that is clean with flavours that are rich. This strain takes after the attributes of both parent strains which makes it such a promising sake rice. Unlike Gohyakumangoku, It can be polished down to a seimai-buai of 40% or more without compromising the rice."
Wataribune,Ibaraki,,,
Shiga Wataribune #6,Shiga,,,
(Shin) Yamada Ho,Hyogo,,,
Shinriki,Hyogo,,,
Hattan-so,Hiroshima,,,
Senbon nishiki,Hiroshima,Yamada Nishiki x Nakate Shin Senbon,,Ginjo
Yukimegami,Yamagata,,,"(Snow Goddess) Created for daiginjo sake, this rice produces a brew with a refreshingly sweet, clear, and delicate taste. It is known for its low amino acid content and smooth texture. "
Hyakumangoku no Shiro,Ishikawa,,2017,An original sake rice from Ishikawa Prefecture. It was developed over 11 years and released in 2017 to provide local brewers with a high-quality rice specifically for daiginjo production. Its characteristics make it resistant to cracking during the high-polishing process required for ginjo.
Homare Fuji,Shizuoka,,,"A sake rice variety developed in Shizuoka Prefecture, often used for local sakes."
Misato Nishiki,Akita,,,"A sake rice variety from Akita Prefecture, bred by crossing Yamadanishiki and Miyamanishiki."
Gin no Sato,Fukuoaka,,,
Koshi Hikari,Niigata,,,
Oseto,Kagawa,,,
Goriki,Tottori,,,
Mai kaze,Gunma,,,
Gin Otome,Iwate,,,
Sake Mushashi,Saitama,,,
Oyama nishiki,Tochigi,,,
Kinmon nishiki,Nagano ,Yamada Nishiki x Takane nishiki,,"Along with Omachi, good for making koshu"
Tsuyubakaze,Nara,,,
Saka honmare,Fukui,,,
Wakamizu,Aichi,,,
Yume Sansui,Aichi,,,
Yume Ginga,Aichi,,,
Kairyo Omachi,Shimane,,,"改良 (kairyō): This literally translates to ""improvement"" or ""development"" and indicates a strain that was bred to be more manageable than the original Omachi rice."
Yume Sasara,Tochigi,Yamada Nishiki x Tochigi 25,,
Fusa no mai,Chiba,,,
Kan no mai,Shimane,,,"The new unique savory, smoky saline sake rice of Shimane, prone to cracking at 70%. ""Kan no mai"" is a type of rice developed to withstand cold climates and is used to brew the Rihaku ""Dance of Discovery"" sake"
Saito no Shizuku,Yamaguchi,,,
Matsuyama Mitsui,Ehime,,,
Suisei,Hokkaido,,,
Kita shizuku,Hokkaido,,,
Hanaomoi,Aomori,,,
yuinoka ?,Iwate,,,
yuki hotaka,Gunma,,,
Tomi no kaori,Toyama,,,
Hana echizen,Fukui,,,
koshi no shizuku,Fukui,,,
Shiragiku,Aichi,,,
kami no ho,Mie,,,
ise nishiki,Mie,,,
Yuminare ho,Mie,,,
Ukon nishiki,Mie,,,
Gin fukubi,Shiga,,,
Saka nishiki,Shimane,,,
Kokurio miyako,Yamaguchi,,,
Sanuki Yoimai,Kagawa,,,
Oidemai,Kagawa,,,
Gin no Yume,Kochi,,,
Hana nishiki,Kumamoto,,,
