Name,Japanese Name,Prefecture,Parents,Year,Production_Tonnes,Importance,Notes
Yamadanishiki,山田錦,Hyogo,Yamadaho x Tankan-wataribune,1923/ 1936,22916,1,"Known as the ""King of Sake Rice."" A cross between Yamadaho and Tankan-wataribune developed in 1923, distributed 1936. Prized for its large uniform starch core (shinpaku). Used to produce premium highly aromatic sakes. Cannot grow above 300m. Tankan-wataribune also descended from Omachi. Accounts for 35% of all sake rice production in Japan."
Gohyakumangoku,五百万石,Niigata,Kikusui x Shin no 200,1938,21000,1,Second most cultivated sakamai. Produces clean crisp light sake with simple refreshing profile. Developed 1938 by crossing Kikusui (ancestor of Omachi) and Shin No. 200 (ancestor of Kame no O). Name from 1957 bumper crop yielding 5 million koku (Gohyakumangoku). Developed for Niigata's cold climate. Easy to make koji with lends itself to Echigo toji's tsuki haze koji creating sharp crisp light clean sake - foundation of Niigata's tanre karakuchi style. Large round shinpaku cannot be polished below 50% without cracking. Yoshikawa ward in southern Joetsu is largest cultivation area.
Miyama Nishiki,美山錦,Nagano ,Takane Nishiki x Gamma Rays,1978,6408,1,Third most produced sake rice. Creates rich bold slightly earthy-flavored sake. Well-suited for winter brewing in colder climates. Miyama means Beautiful Mountain. Developed through gamma ray mutation of Takane Nishiki.
Omachi,雄町,Okayama,,,2723,1,Considered heirloom variety dating to 19th century (discovered 1859). Creates complex rich sake with earthy herbal notes. Parent variety of many modern sake rices. Table rice variety also used for sake.
Dewasansan,出羽燦々,Yamagata,Miyama Nishiki x Hanafukubi,1985 / 1997,1436,1,"Creates a clean, smooth, and mildly floral sake. Often used in Yamagata's local premium sakes."
Dewa no Sato,出羽の里,Yamagata,Ginfukubi x Dewasansan,1994 / 2004,600,1,"94-95% shinpaku, good for junmai & honjozo. High acid / low umami"
Hattan Nishiki,八反錦,Hiroshima,,,900,1,"A variety in the Hattan family, it is known for producing sake with a distinctive, sharp acidity and rich, earthy flavors. Some types are easily broken during polishing, limiting their use in high-polish sakes."
Akita Sake Komachi,秋田酒こまち,Akita,Akikeishu 251 x 306,1992 /2003,800,1,"A newer variety bred specifically for Akita's climate. Known for producing soft, elegant, and aromatic sake."
Ginpu,吟風,Hokkaido,,,700,1,"Developed for the northern climate of Hokkaido, it is used to make aromatic and crisp sake."
Kame no O,亀の尾,Yamagata,,,500,1,Heirloom rice variety with strong distinct flavor profile. Discovered 1893. Revived in recent years for craft sake. Table rice variety.
Iwai,祝,Kyoto,,,400,1,"Used almost exclusively in Kyoto, it is known for producing soft and aromatic sake with a gentle flavor."
Hanafubuki,華吹雪,Aomori,,,1044,1,
Ginginga,吟ぎんが,Iwate,,,350,1,
Kura no Hana,蔵の華,Miyagi,Yamada Nishiki x Tohoku 140,1987,320,1,
Sasa Nishiki,ササニシキ,Miyagi,,,,3,
Yume no Kaori,夢の香,Fukushima,Dewasansan x Hattan Nishiki,1991/ 2003,,1,"Like parent D33, good for cold / ginjo"
Hitogokochi,ひとごこち,Nagano ,,,,3,
Tamasakae,玉栄,Shiga,,,,3,
Aiyama,愛山,Hyogo,,,,3,
Hida Honmare,飛騨誉,Gifu,?? Hida Minori x Fuku no hana,,,1,"round shinpaku - max milling 45%, used for all grades, used by most brewers in Gufu"
Koshi Tanrei,越淡麗,Niigata,Yamada Nishiki x Gohykumangoku,1989/2004,1200,2,"Hybrid of Yamada Nishiki and Gohyakumangoku. Crossed in 1989, officially introduced 2004, registered 2007. Developed specifically for daiginjo sake making since it can be polished to lower levels than Gohyakumangoku without cracking (40%+ seimai-buai vs 50% limit). Good water absorbency, dissolves well in moromi. Creates sake that is clean with rich flavors - inherits attributes of both parents: clean aftertaste from Gohyakumangoku and full body/ginjo-ka from Yamada Nishiki. Over 1200 tonnes produced in 2019, ranking 10th in total Japanese production."
Wataribune,渡船,Ibaraki,,,,1,
Shiga Wataribune #6,渡船6号,Shiga,,,,3,
(Shin) Yamada Ho,(新)山田穂,Hyogo,,,,3,
Shinriki,神力,Hyogo,,,,3,
Hattan-so,八反草,Hiroshima,,,,3,
Senbon Nishiki,千本錦,Hiroshima,Yamada Nishiki x Nakate Shin Senbon,1990/2002,,2,"Premium sake rice from Hiroshima Prefecture. Developed by crossing Yamada Nishiki and Nakate Shinsenbon, first cultivated 1990, officially registered 2002. Created to be a unique Hiroshima varietal adapted to local climate with excellent properties for premium ginjo-shu. Makes sake that is fragrant with rich flavor and mildly bitter fresh finish. Often used for ginjo-shu production."
Yukimegami,雪女神,Yamagata,Yamada Nishiki (one parent confirmed),2001/2015,,2,"Snow Goddess from Yamagata Prefecture. First Daiginjo-specific rice developed to lessen reliance on Yamadanishiki. Development started 2001, introduced 2015. Created specifically for Yamagata climate and daiginjo production. Low protein content inhibits amino acids during brewing, producing refreshingly sweet, clear, delicate sake with smooth texture and low amino acid content. Makes clean and smooth sake."
Hyakumangoku no Shiro,百万石乃白,Ishikawa,,2017,,1,An original sake rice from Ishikawa Prefecture. It was developed over 11 years and released in 2017 to provide local brewers with a high-quality rice specifically for daiginjo production. Its characteristics make it resistant to cracking during the high-polishing process required for ginjo.
Homare Fuji,誉富士,Shizuoka,,,,1,"A sake rice variety developed in Shizuoka Prefecture, often used for local sakes."
Misato Nishiki,美郷錦,Akita,Yamada Nishiki x Miyama Nishiki,Early 2000s,,2,Hybrid of Yamada Nishiki and Miyama Nishiki developed by Akita Prefectural Agriculture Research Center in early 2000s. Considered one of best sake rice varieties in Akita. Makes it possible to produce deep and heavy sake while having fruity aroma like sake made from Yamada Nishiki.
Gin no Sato,吟のさと,Fukuoka,,,,1,
Koshi Hikari,コシヒカリ,Niigata,,,,3,
Oseto,雄山錦,Kagawa,,,,3,
Goriki,五力,Tottori,,,,1,
Mai Kaze,舞風,Gunma,,,,3,
Gin Otome,吟おとめ,Iwate,,,,3,
Sake Mushashi,酒武蔵,Saitama,,,,1,
Oyama Nishiki,夢山水,Toyama,,,,3,
Kinmon Nishiki,金紋錦,Nagano ,Yamada Nishiki x Takane nishiki,,,2,"Along with Omachi, good for making koshu"
Tsuyubakaze,露葉風,Nara,,,,1,
Saka Honmare,五百万石,Fukui,,,,3,
Wakamizu,若水,Aichi,,,,3,
Yume Sansui,夢山水,Aichi,,,,3,
Yume Ginga,夢吟香,Aichi,,,,3,
Kairyo Omachi,改良雄町,Shimane,,1960,,2,"改良 (kairyō) translates to ""improvement"" or ""revised"" - a strain bred to be more manageable than original Omachi rice. Developed in Shimane 1960. Crossbreeding with more durable strains reduced height of Omachi's towering stalks, tamed wild shinpaku, and shortened cultivation time. Created because Omachi is difficult for both farmers and brewers to handle. Still used in Shimane sake production today."
Yume Sasara,夢ささら,Tochigi,Yamada Nishiki x Tochigi 25,Released 2017,,2,Tochigi Prefecture sake rice. Cross between Yamada Nishiki and Tochigi 25. Released in 2017. Developed for Tochigi's climate and sake production needs.
Fusa no Mai,ふさの舞,Chiba,,,,1,
Kan no Mai,神の舞,Shimane,,,,2,"New unique savory, smoky saline sake rice of Shimane. Developed to withstand cold climates. Prone to cracking at 70% polish. Used to brew Rihaku ""Dance of Discovery"" sake. Creates distinctive umami-forward sake profile."
Saito no Shizuku,西都の雫,Yamaguchi,,,,3,
Matsuyama Mii/Mitsui,松山三井,Ehime,,,,1,
Suisei,彗星,Hokkaido,,,,3,
Kita Shizuku,きたしずく,Hokkaido,,,,3,
Hanaomoi,華想い,Aomori,,,,3,
Yuinoka,結の香,Iwate,,,,3,
Yuki Hotaka,雪ほたか,Gunma,,,,3,
Tomi no Kaori,富の香,Toyama,,,,1,
Hana Echizen,華越前,Fukui,,,,3,
koshi no Shizuku,越の雫,Fukui,,,,3,
Shiragiku,白菊,Aichi,,,,3,
Kami no Ho,神の穂,Mie,,,,3,
Ise Nishiki,伊勢錦,Mie,,,,3,
Yuminare Ho,弓成穂,Mie,,,,3,
Ukon Nishiki,右近錦,Mie,,,,3,
Gin Fukubi,吟吹雪,Shiga,,,,3,
Saka Nishiki,佐香錦,Shimane,,,,3,
Kokurio Miyako,国京,Yamaguchi,,,,3,
Sanuki Yoimai,さぬきよいまい,Kagawa,,,,3,
Oidemai,おいでまい,Kagawa,,,,3,
Gin no Yume,吟の夢,Kochi,,,,1,
Hana Nishiki,華錦,Kumamoto,,,,1,
Gin no Sei,吟の精,Akita,Akikei No. 53 x Aikawa No. 1,1990/1993,,2,"Registered 1993, developed 1990. Created to address Miyama Nishiki's unsuitability for ginjo. Larger than Miyama Nishiki with better polishing characteristics. Does not break easily, easier to handle in brewing. Considered rare, almost endangered."
Ichihozumi,一穂積,Akita,,,,2,"Akita Prefecture sake rice variety known for producing clean, refined sake."
Hyakuden,百田,Akita,,,,2,Akita Prefecture variety used for quality sake production.
Kissui,亀粋,Yamagata,,,,2,Yamagata Prefecture sake rice variety.
Fuku no Ka,福乃香,Fukushima,,,,2,"Fukushima Prefecture sake rice. Name means ""Fragrance of Fortune""."
Hitachi Nishiki,常陸錦,Ibaraki,,,,2,Ibaraki Prefecture sake rice variety.
Tochigi No. 14,栃木14号,Tochigi,,,,2,Tochigi Prefecture experimental variety for sake brewing.
Ipponjime,一本〆,Niigata,,,,2,Niigata Prefecture sake rice developed for cold climate brewing.
Kikusui,菊水,Niigata,,,,2,"Historic Niigata variety, ancestor of Gohyakumangoku. Important in the lineage of modern sake rice."
Shira Fuji,白藤,Niigata,,,,2,Niigata Prefecture sake rice variety.
Hokuriku No. 14,北陸14号,Niigata,,,,2,Hokuriku region experimental variety used in Niigata.
Ishikawa Mon,石川門,Ishikawa,,,,2,Ishikawa Prefecture sake rice variety.
Oku Honmare,奥の誉,Fukui,,,,2,Fukui Prefecture sake rice variety.
Sankei Nishiki,山恵錦,Nagano,,,,2,Nagano Prefecture sake rice variety.
Takane Nishiki,高嶺錦,Nagano,,,,2,"Nagano Prefecture variety. Parent of Miyama Nishiki, which was created through gamma ray mutation of Takane Nishiki."
Shirakaba Nishiki,白樺錦,Nagano,,,,2,"Nagano Prefecture sake rice. Name means ""White Birch Brocade""."
